team_key,logo_url
lehigh mountain hawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/lehigh_mountain_hawks.png
liberty flames,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/liberty_flames.png
lindenwood lions,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/lindenwood_lions.png
liu sharks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/liu_sharks.png
louisiana tech bulldogs,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/louisiana_tech_bulldogs.png
louisiana-lafayette ragin' cajuns,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/louisiana-lafayette_ragin'_cajuns.png
louisiana-monroe warhawks,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/louisiana-monroe_warhawks.png
louisville cardinals,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/louisville_cardinals.png
loyola chicago ramblers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/loyola_chicago_ramblers.png
loyola marymount lions,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/loyola_marymount_lions.png
lsu tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/lsu_tigers.png
maine black bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/maine_black_bears.png
manhattan jaspers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/manhattan_jaspers.png
marist red foxes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/marist_red_foxes.png
marquette golden eagles,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/marquette_golden_eagles.png
marshall thundering herd,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/marshall_thundering_herd.png
maryland terrapins,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/maryland_terrapins.png
massachusetts (umass) amherst minutemen,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/massachusetts_(umass)_amherst_minutemen.png
mcneese state cowboys,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/mcneese_state_cowboys.png
memphis tigers,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/memphis_tigers.png
mercer bears,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/mercer_bears.png
merrimack warriors,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/merrimack_warriors.png
miami hurricanes,http://bet-bot-manager.my.pebble.host:25594/static/logos/ncaa/miami_hurricanes.png
